name,latitude,longitude
MK AROMAS LTD,52.020185,-0.738928
SELLER AUTOS LIMITED,51.448754,-0.141091
BAYAKA LIMITED,52.241517,-0.888628
CHINOOK LIMITED,53.42158,-2.329303
DEEPHOLM FULFILMENT LIMITED,51.826069,-2.748308
HQ CREATIVE LTD,51.063588,0.622549
ZEESTAY LTD,51.548118,-1.836356
RFML LTD,53.532886,-2.524939
SR DYNAMICS GROUP LTD,55.841388,-4.400464
OHANA SUSHI LTD,53.430513,-2.342511
PETER SCOTT SERVICES LTD,52.475595,0.381414
FENNERS PROPERTIES LETTINGS LIMITED,52.900661,-2.48414
A&J PEACOCK PROPERTIES LTD,55.963974,-3.251685
WALK AND THREAD LTD,53.480363,-2.224836
UA RETAIL LTD,53.607241,-2.145835
AQNET LTD,53.493591,-2.093157
MENA QUALITY LIMITED,51.525615,-0.083628
COSMIC ALLIANCE GROUP LTD,50.803753,-1.080393
HALIFAX CATERING LTD,53.725703,-1.905936
HYDRAIA LIMITED,51.475084,-0.062203
BELLA CHAO CHAO LTD,51.649129,-0.396996
GRMK LTD,52.506489,-1.813584
ANANAFA SERVICES LTD,52.456616,-1.897781
SCRAMBLINGESS LTD,51.942312,-3.366932
CV AESTHETICS LTD,53.714392,-1.077881
SWALLIS CARE LTD,50.80765,0.342502
WEBIFY TECHNOLOGIES LIMITED,51.574094,-0.017052
CHILLY'S CRAFTS LTD,52.272123,-0.828873
WELOVECARS LTD,51.396696,0.043076
PLUMBHERS LTD,52.673353,-2.487907
JOKOLO SOLUTIONS LTD,52.497836,-1.923006
FAST FLUENCY LTD,51.493254,-0.714253
MPIRIOF SERVICES LTD,52.456616,-1.897781
SEALED LOVE LTD,51.479129,-0.045268
MIKA BUILDING LTD,53.353963,-1.491967
MAGNER HOLDINGS LTD,51.501573,-0.384313
LEIGHTON REALTY LIMITED,51.475164,-0.289891
ASHLEIGH RVN LTD,53.472447,-2.564402
DWILCO LIMITED,51.811744,-2.718261
WENDAEL GROUP LTD,51.355759,0.256758
FIVE STAR ESTATES LTD,51.538987,0.051517
AR ESTATES AND INVESTMENTS LIMITED,51.882757,-0.447432
THE SUN LOUNGE (CLACTON) LTD,51.798161,1.164304
CREWE RETAIL ESTATES LIMITED,53.511971,-2.258663
RC SPENCER MOTORS LTD,53.631981,-2.16827
TOPDOGBELFAST LTD,54.645287,-5.92401
DD HILLS HOSPITALITY LTD,52.112813,-1.641133
SNACK FOOD LIMITED,52.399219,-1.479444
IRY RETAIL LIMITED,53.583795,-2.443262
KENIA LIMITED,51.652328,-1.587177
PAWB ENERGY LTD,51.64656,-3.478226
KHANII LTD,51.414703,-0.198946
ALVIS PROPERTIES LTD,51.46774,-2.137577
KENDRISSOS LIMITED,51.608672,0.09767
CARE DONT STOP LTD,52.597068,-1.912455
OCOM PROPERTIES LTD,53.938925,-1.808837
GUO1MEILAN LTD,51.51953,-0.164775
LUNDY PHARMA CONSULTING LTD,51.588566,-0.775969
