date,llp,registered-overseas-entity,private-limited-guarant-nsc,private-limited-guarant-nsc-limited-exemption,plc,private-unlimited,limited-partnership,ltd
2023-09-18,16,17,63,6,,1,,3068
2023-09-24,,,11,,,,,337
2023-09-01,14,11,40,2,,,6,2289
2023-09-27,15,15,54,3,2,2,,3089
2023-09-29,24,11,53,1,2,,4,2722
2023-09-07,19,3,43,5,1,1,,2810
2023-09-10,13,,68,6,,,,2420
2023-09-12,19,7,47,1,,,2,3150
2023-09-26,23,12,96,5,2,1,,3407
2023-09-08,13,16,49,2,2,,4,2360
2023-09-13,24,17,43,3,2,,2,2753
2023-09-04,24,16,54,4,,1,10,3014
2023-09-25,19,8,46,,,1,,3159
2023-09-06,21,6,64,1,,,2,3370
2023-09-21,18,10,50,6,2,,1,2761
2023-09-05,17,24,78,5,3,,1,3573
2023-09-02,,,9,,,,,382
2023-09-19,17,7,69,6,2,1,2,3047
2023-09-14,12,10,43,1,1,,1,2200
2023-09-17,,,7,,,,,530
2023-09-03,,,3,,,,,484
2023-09-11,16,8,70,9,,,3,3116
2023-09-22,23,15,62,7,,,6,2900
2023-09-09,,,4,,,,,391
2023-09-30,19,,51,4,,,,2434
2023-09-23,21,,72,10,1,,,2904
2023-09-16,,,10,,,,,431
2023-09-20,12,17,59,5,,,4,2786
2023-09-28,17,10,70,4,,,1,3318
2023-09-15,15,7,48,3,1,,,2765
